strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,5.384397953748703003e+00
7.999968715012073517e-03,9.825894959270954132e+00
1.199979055672883987e-02,1.570950597524642944e+01
1.599993370473384857e-02,2.115291889011859894e+01
1.999928429722785950e-02,2.586474379897117615e+01
2.399908378720283508e-02,2.980180040001869202e+01
2.800061739981174469e-02,3.307179719209671021e+01
3.200063854455947876e-02,3.579579395055770874e+01
3.600130602717399597e-02,3.809517714381217957e+01
3.999888524413108826e-02,4.007492953538894653e+01
4.399931803345680237e-02,4.182023155689239502e+01
4.799989610910415649e-02,4.339453420042991638e+01
5.200096219778060913e-02,4.482576462626457214e+01
5.600120127201080322e-02,4.612355500459671021e+01
5.999952554702758789e-02,4.730624768137931824e+01
6.400122493505477905e-02,4.839756593108177185e+01
6.799999624490737915e-02,4.941132193803787231e+01
7.200177013874053955e-02,5.035011968016624451e+01
7.599955797195434570e-02,5.121661153435707092e+01
7.999832183122634888e-02,5.202042281627655029e+01
8.400037139654159546e-02,5.277189496159553528e+01
8.800123631954193115e-02,5.347756454348564148e+01
9.200063347816467285e-02,5.414201486110687256e+01
9.599869698286056519e-02,5.476898461580276489e+01
9.999967366456985474e-02,5.536111465096473694e+01
1.040003299713134766e-01,5.591946494579315186e+01
1.080013066530227661e-01,5.644591340422630310e+01
1.119993701577186584e-01,5.694248294830322266e+01
1.159987673163414001e-01,5.742902174592018127e+01
1.199996247887611389e-01,5.805015423893928528e+01
1.240016818046569824e-01,5.864924526214599609e+01
1.280004382133483887e-01,5.920310515165328979e+01
1.319982260465621948e-01,5.978412893414497375e+01
1.360000073909759521e-01,6.033645793795585632e+01
1.399987787008285522e-01,6.099060145020484924e+01
1.440004706382751465e-01,6.177367451786994934e+01
1.479987949132919312e-01,6.254614150524139404e+01
1.519990414381027222e-01,6.364409363269805908e+01
1.560001075267791748e-01,6.501835334300994873e+01
1.600006818771362305e-01,6.667991620302200317e+01
1.640011072158813477e-01,6.827712625265121460e+01
1.679986864328384399e-01,6.993649089336395264e+01
1.719993650913238525e-01,7.200530755519866943e+01
1.759993880987167358e-01,7.465729230642318726e+01
1.800009161233901978e-01,7.769791013002395630e+01
1.840007156133651733e-01,8.064947801828384399e+01
1.880000680685043335e-01,8.348214614391326904e+01
1.920002102851867676e-01,8.618171995878219604e+01
1.960000246763229370e-01,8.929199713468551636e+01
1.999996602535247803e-01,9.103385996818542480e+01
