strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,1.331599824363365769e+00
7.999968715012073517e-03,2.419454367365688086e+00
1.199979055672883987e-02,3.833375512622296810e+00
1.599993370473384857e-02,5.098613737151026726e+00
1.999928429722785950e-02,6.166244462132453918e+00
2.399908378720283508e-02,7.033491348847746849e+00
2.800061739981174469e-02,7.731223322451114655e+00
3.200063854455947876e-02,8.304250666871666908e+00
3.600130602717399597e-02,8.788037797436118126e+00
3.999888524413108826e-02,9.202875515446066856e+00
4.399931803345680237e-02,9.558788118883967400e+00
4.799989610910415649e-02,9.861099705100059509e+00
5.200096219778060913e-02,1.011796161346137524e+01
5.600120127201080322e-02,1.033854536339640617e+01
5.999952554702758789e-02,1.052907069027423859e+01
6.400122493505477905e-02,1.069461708143353462e+01
6.799999624490737915e-02,1.083951780945062637e+01
7.200177013874053955e-02,1.096739584952592850e+01
7.599955797195434570e-02,1.108108153939247131e+01
7.999832183122634888e-02,1.118316367268562317e+01
8.400037139654159546e-02,1.127595210820436478e+01
8.800123631954193115e-02,1.136130176484584808e+01
9.200063347816467285e-02,1.144065544009208679e+01
9.599869698286056519e-02,1.151508459448814392e+01
9.999967366456985474e-02,1.158546843752264977e+01
1.040003299713134766e-01,1.383564040437340736e+01
1.080013066530227661e-01,1.632155833393335342e+01
1.119993701577186584e-01,1.960229922086000443e+01
1.159987673163414001e-01,2.307030006311833858e+01
1.199996247887611389e-01,2.626239675283432007e+01
1.240016818046569824e-01,2.932732642441987991e+01
1.280004382133483887e-01,3.202491229772567749e+01
1.319982260465621948e-01,3.499709265679121017e+01
1.360000073909759521e-01,3.648071363568305969e+01
1.399987787008285522e-01,3.835448538511991501e+01
1.440004706382751465e-01,4.005327289551496506e+01
1.479987949132919312e-01,4.174115005135536194e+01
1.519990414381027222e-01,4.328006336838006973e+01
1.560001075267791748e-01,4.484753849357366562e+01
1.600006818771362305e-01,4.634063269197940826e+01
1.640011072158813477e-01,4.764254505187273026e+01
1.679986864328384399e-01,4.882248915731906891e+01
1.719993650913238525e-01,5.017569094896316528e+01
1.759993880987167358e-01,5.131830974668264389e+01
1.800009161233901978e-01,5.228729705139994621e+01
1.840007156133651733e-01,5.317809268087148666e+01
1.880000680685043335e-01,5.404879347607493401e+01
1.920002102851867676e-01,5.549916855618357658e+01
1.960000246763229370e-01,5.621924102306365967e+01
1.999996602535247803e-01,5.664661232568323612e+01
