strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,3.509794805198907852e+00
7.999968715012073517e-03,6.389754880219697952e+00
1.199979055672883987e-02,1.021790900826454163e+01
1.599993370473384857e-02,1.389645566791296005e+01
1.999928429722785950e-02,1.731060723960399628e+01
2.399908378720283508e-02,2.029862745106220245e+01
2.800061739981174469e-02,2.284526139497756958e+01
3.200063854455947876e-02,2.502665798366069794e+01
3.600130602717399597e-02,2.689087587594985962e+01
3.999888524413108826e-02,2.847681297361850739e+01
4.399931803345680237e-02,2.982769230008125305e+01
4.799989610910415649e-02,3.098640415072441101e+01
5.200096219778060913e-02,3.198880508542060852e+01
5.600120127201080322e-02,3.286560639739036560e+01
5.999952554702758789e-02,3.364151385426521301e+01
6.400122493505477905e-02,3.433420062065124512e+01
6.799999624490737915e-02,3.495666700601577759e+01
7.200177013874053955e-02,3.551869663596153259e+01
7.599955797195434570e-02,3.602397897839546204e+01
7.999832183122634888e-02,3.647232517600059509e+01
8.400037139654159546e-02,3.686444705724716187e+01
8.800123631954193115e-02,3.720164304971694946e+01
9.200063347816467285e-02,3.748805129528045654e+01
9.599869698286056519e-02,3.772980031371116638e+01
9.999967366456985474e-02,3.793289580941200256e+01
1.040003299713134766e-01,3.874369093775749207e+01
1.080013066530227661e-01,3.964404857158660889e+01
1.119993701577186584e-01,4.036849948763847351e+01
1.159987673163414001e-01,4.104018351435661316e+01
1.199996247887611389e-01,4.162768894433975220e+01
1.240016818046569824e-01,4.217843905091285706e+01
1.280004382133483887e-01,4.266178846359252930e+01
1.319982260465621948e-01,4.310744756460189819e+01
1.360000073909759521e-01,4.353002643585205078e+01
1.399987787008285522e-01,4.392301678657531738e+01
1.440004706382751465e-01,4.425190293788909912e+01
1.479987949132919312e-01,4.458875977993011475e+01
1.519990414381027222e-01,4.487215512990951538e+01
1.560001075267791748e-01,4.512560617923736572e+01
1.600006818771362305e-01,4.536392140388488770e+01
1.640011072158813477e-01,4.557063692808151245e+01
1.679986864328384399e-01,4.578181970119476318e+01
1.719993650913238525e-01,4.597234517335891724e+01
1.759993880987167358e-01,4.615449416637420654e+01
1.800009161233901978e-01,4.642499798536300659e+01
1.840007156133651733e-01,4.662019807100296021e+01
1.880000680685043335e-01,4.677505105733871460e+01
1.920002102851867676e-01,4.694603842496871948e+01
1.960000246763229370e-01,4.702989792823791504e+01
1.999996602535247803e-01,4.699857467412948608e+01
