strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,3.285235948860645294e+00
7.999968715012073517e-03,6.005816973745822906e+00
1.199979055672883987e-02,9.643879503011703491e+00
1.599993370473384857e-02,1.312405334413051605e+01
1.999928429722785950e-02,1.620034611225128174e+01
2.399908378720283508e-02,1.874921256303787231e+01
2.800061739981174469e-02,2.087780845165252686e+01
3.200063854455947876e-02,2.269120848178863525e+01
3.600130602717399597e-02,2.424655222892761230e+01
3.999888524413108826e-02,2.559130603075027466e+01
4.399931803345680237e-02,2.676618397235870361e+01
4.799989610910415649e-02,2.780760389566421509e+01
5.200096219778060913e-02,2.874372845888137817e+01
5.600120127201080322e-02,2.959756720066070557e+01
5.999952554702758789e-02,3.038391643762588501e+01
6.400122493505477905e-02,3.111619949340820312e+01
6.799999624490737915e-02,3.180428445339202881e+01
7.200177013874053955e-02,3.245449352264404297e+01
7.599955797195434570e-02,3.307184398174285889e+01
7.999832183122634888e-02,3.365975272655487061e+01
8.400037139654159546e-02,3.421970725059509277e+01
8.800123631954193115e-02,3.475203645229339600e+01
9.200063347816467285e-02,3.525734329223632812e+01
9.599869698286056519e-02,3.573738157749176025e+01
9.999967366456985474e-02,3.619294285774230957e+01
1.040003299713134766e-01,3.662442779541015625e+01
1.080013066530227661e-01,3.703189170360565186e+01
1.119993701577186584e-01,3.741648185253143311e+01
1.159987673163414001e-01,3.778018069267272949e+01
1.199996247887611389e-01,3.812403416633605957e+01
1.240016818046569824e-01,3.844767236709594727e+01
1.280004382133483887e-01,3.874994146823883057e+01
1.319982260465621948e-01,3.903009390830993652e+01
1.360000073909759521e-01,3.928851163387298584e+01
1.399987787008285522e-01,3.952531576156616211e+01
1.440004706382751465e-01,3.974045741558074951e+01
1.479987949132919312e-01,3.993442189693450928e+01
1.519990414381027222e-01,4.010757005214691162e+01
1.560001075267791748e-01,4.025969243049621582e+01
1.600006818771362305e-01,4.038993132114410400e+01
1.640011072158813477e-01,4.049717044830322266e+01
1.679986864328384399e-01,4.058017051219940186e+01
1.719993650913238525e-01,4.063741469383239746e+01
1.759993880987167358e-01,4.066636919975280762e+01
1.800009161233901978e-01,4.066327977180480957e+01
1.840007156133651733e-01,4.062597286701202393e+01
1.880000680685043335e-01,4.062825465202331543e+01
1.920002102851867676e-01,4.066091573238372803e+01
1.960000246763229370e-01,4.060559463500976562e+01
1.999996602535247803e-01,4.038451218605041504e+01
