strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,3.070254652295261621e+00
7.999968715012073517e-03,5.603181322105228901e+00
1.199979055672883987e-02,8.954029169864952564e+00
1.599993370473384857e-02,1.203650001715868711e+01
1.999928429722785950e-02,1.464115524012595415e+01
2.399908378720283508e-02,1.673951196065172553e+01
2.800061739981174469e-02,1.842486388259567320e+01
3.200063854455947876e-02,1.978946911729872227e+01
3.600130602717399597e-02,2.091620045900344849e+01
3.999888524413108826e-02,2.187097541615366936e+01
4.399931803345680237e-02,2.270118144527077675e+01
4.799989610910415649e-02,2.343807343486696482e+01
5.200096219778060913e-02,2.410345169343054295e+01
5.600120127201080322e-02,2.471133768744766712e+01
5.999952554702758789e-02,2.526999513432383537e+01
6.400122493505477905e-02,2.578304886349360459e+01
6.799999624490737915e-02,2.625109767925459892e+01
7.200177013874053955e-02,2.667782162944786251e+01
7.599955797195434570e-02,2.706928798137232661e+01
7.999832183122634888e-02,2.743005418963730335e+01
8.400037139654159546e-02,2.776359851239249110e+01
8.800123631954193115e-02,2.807226911047473550e+01
9.200063347816467285e-02,2.835721341427415609e+01
9.599869698286056519e-02,2.862078345287591219e+01
9.999967366456985474e-02,2.886584145203232765e+01
1.040003299713134766e-01,2.909419395588338375e+01
1.080013066530227661e-01,2.930676843412220478e+01
1.119993701577186584e-01,2.950404179096221924e+01
1.159987673163414001e-01,2.968660366721451283e+01
1.199996247887611389e-01,2.985514668934047222e+01
1.240016818046569824e-01,3.001013589464128017e+01
1.280004382133483887e-01,3.015201056934893131e+01
1.319982260465621948e-01,3.028126561269164085e+01
1.360000073909759521e-01,3.055220633931457996e+01
1.399987787008285522e-01,3.093541613779962063e+01
1.440004706382751465e-01,3.125974112376570702e+01
1.479987949132919312e-01,3.155401076748967171e+01
1.519990414381027222e-01,3.176799688488245010e+01
1.560001075267791748e-01,3.196425823215395212e+01
1.600006818771362305e-01,3.221384052745997906e+01
1.640011072158813477e-01,3.235159283038228750e+01
1.679986864328384399e-01,3.243813082203269005e+01
1.719993650913238525e-01,3.261520870018284768e+01
1.759993880987167358e-01,3.273503547534346581e+01
1.800009161233901978e-01,3.279161180835217237e+01
1.840007156133651733e-01,3.283581350836902857e+01
1.880000680685043335e-01,3.282211493328213692e+01
1.920002102851867676e-01,3.279115591756999493e+01
1.960000246763229370e-01,3.279559919238090515e+01
1.999996602535247803e-01,3.333441195823252201e+01
