strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,3.278256789315491915e+00
7.999968715012073517e-03,5.991425939835608006e+00
1.199979055672883987e-02,9.612883236259222031e+00
1.599993370473384857e-02,1.303023399226367474e+01
1.999928429722785950e-02,1.605991806834936142e+01
2.399908378720283508e-02,1.860059903655201197e+01
2.800061739981174469e-02,2.072015323303639889e+01
3.200063854455947876e-02,2.252608790667727590e+01
3.600130602717399597e-02,2.408299816539511085e+01
3.999888524413108826e-02,2.543747872859239578e+01
4.399931803345680237e-02,2.662964597903192043e+01
4.799989610910415649e-02,2.769414895772933960e+01
5.200096219778060913e-02,2.865846589300781488e+01
5.600120127201080322e-02,2.953859063610434532e+01
5.999952554702758789e-02,3.034579409589059651e+01
6.400122493505477905e-02,3.108700080867856741e+01
6.799999624490737915e-02,3.177409189008176327e+01
7.200177013874053955e-02,3.241574622690677643e+01
7.599955797195434570e-02,3.301778641343116760e+01
7.999832183122634888e-02,3.358150356262922287e+01
8.400037139654159546e-02,3.411096213757991791e+01
8.800123631954193115e-02,3.461122328788042068e+01
9.200063347816467285e-02,3.508450479805469513e+01
9.599869698286056519e-02,3.553341534733772278e+01
9.999967366456985474e-02,3.596095751225948334e+01
1.040003299713134766e-01,3.636811679601669312e+01
1.080013066530227661e-01,3.675525698065757751e+01
1.119993701577186584e-01,3.712328177690505981e+01
1.159987673163414001e-01,3.747355550527572632e+01
1.199996247887611389e-01,3.780655929446220398e+01
1.240016818046569824e-01,3.812219500541687012e+01
1.280004382133483887e-01,3.842058724164962769e+01
1.319982260465621948e-01,3.870131196081638336e+01
1.360000073909759521e-01,3.896500651538372040e+01
1.399987787008285522e-01,3.921345004439353943e+01
1.440004706382751465e-01,3.948920888314023614e+01
1.479987949132919312e-01,3.973745584487915039e+01
1.519990414381027222e-01,3.995635750889778137e+01
1.560001075267791748e-01,4.015193070471286774e+01
1.600006818771362305e-01,4.032308381795883179e+01
1.640011072158813477e-01,4.060966324806213379e+01
1.679986864328384399e-01,4.090745931863784790e+01
1.719993650913238525e-01,4.118399140238761902e+01
1.759993880987167358e-01,4.139592093229293823e+01
1.800009161233901978e-01,4.169858551025390625e+01
1.840007156133651733e-01,4.193061304092407227e+01
1.880000680685043335e-01,4.204276204109191895e+01
1.920002102851867676e-01,4.215922355651855469e+01
1.960000246763229370e-01,4.222272074222564697e+01
1.999996602535247803e-01,4.210126435756683350e+01
