strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,3.986306924372911453e+00
7.999968715012073517e-03,7.271964564919471741e+00
1.199979055672883987e-02,1.164566188305616379e+01
1.599993370473384857e-02,1.581706845015287399e+01
1.999928429722785950e-02,1.959565963596105576e+01
2.399908378720283508e-02,2.286988312005996704e+01
2.800061739981174469e-02,2.566802842915058136e+01
3.200063854455947876e-02,2.805932538211345673e+01
3.600130602717399597e-02,3.010730907320976257e+01
3.999888524413108826e-02,3.186749772727489471e+01
4.399931803345680237e-02,3.339182424545288086e+01
4.799989610910415649e-02,3.472272568941116333e+01
5.200096219778060913e-02,3.589521124958992004e+01
5.600120127201080322e-02,3.693689890205860138e+01
5.999952554702758789e-02,3.786890606582164764e+01
6.400122493505477905e-02,3.870799817144870758e+01
6.799999624490737915e-02,3.946756687760353088e+01
7.200177013874053955e-02,4.015766002237796783e+01
7.599955797195434570e-02,4.078589001297950745e+01
7.999832183122634888e-02,4.135405246913433075e+01
8.400037139654159546e-02,4.186488322913646698e+01
8.800123631954193115e-02,4.232124540209770203e+01
9.200063347816467285e-02,4.272801445424556732e+01
9.599869698286056519e-02,4.309062622487545013e+01
9.999967366456985474e-02,4.341234007477760315e+01
1.040003299713134766e-01,4.369644948095083237e+01
1.080013066530227661e-01,4.394643078558146954e+01
1.119993701577186584e-01,4.416461924836039543e+01
1.159987673163414001e-01,4.435130081325769424e+01
1.199996247887611389e-01,4.450702492892742157e+01
1.240016818046569824e-01,4.463251428306102753e+01
1.280004382133483887e-01,4.472833670675754547e+01
1.319982260465621948e-01,4.479518982768058777e+01
1.360000073909759521e-01,4.483341878652572632e+01
1.399987787008285522e-01,4.484361568093299866e+01
1.440004706382751465e-01,4.482650455832481384e+01
1.479987949132919312e-01,4.478260415792465210e+01
1.519990414381027222e-01,4.471233475208282471e+01
1.560001075267791748e-01,4.461612671613693237e+01
1.600006818771362305e-01,4.451586350798606873e+01
1.640011072158813477e-01,4.448917792737483978e+01
1.679986864328384399e-01,4.446089844405651093e+01
1.719993650913238525e-01,4.439781522750854492e+01
1.759993880987167358e-01,4.449194613099098206e+01
1.800009161233901978e-01,4.485539211332798004e+01
1.840007156133651733e-01,4.518148401379585266e+01
1.880000680685043335e-01,4.546553054451942444e+01
1.920002102851867676e-01,4.563906568288803101e+01
1.960000246763229370e-01,4.574361568689346313e+01
1.999996602535247803e-01,4.562623432278633118e+01
