strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,3.064571512164548039e+00
7.999968715012073517e-03,5.593748398125171661e+00
1.199979055672883987e-02,8.960570747498422861e+00
1.599993370473384857e-02,1.216490479419007897e+01
1.999928429722785950e-02,1.498443138413131237e+01
2.399908378720283508e-02,1.730526763014495373e+01
2.800061739981174469e-02,1.922016385197639465e+01
3.200063854455947876e-02,2.082654315978288651e+01
3.600130602717399597e-02,2.217741209454834461e+01
3.999888524413108826e-02,2.331931027583777905e+01
4.399931803345680237e-02,2.429683215729892254e+01
4.799989610910415649e-02,2.514744265004992485e+01
5.200096219778060913e-02,2.590011843293905258e+01
5.600120127201080322e-02,2.657577833160758018e+01
5.999952554702758789e-02,2.718847778439521790e+01
6.400122493505477905e-02,2.775033286958932877e+01
6.799999624490737915e-02,2.827149102464318275e+01
7.200177013874053955e-02,2.875624828040599823e+01
7.599955797195434570e-02,2.920536240935325623e+01
7.999832183122634888e-02,2.961898382939398289e+01
8.400037139654159546e-02,2.999882202781736851e+01
8.800123631954193115e-02,3.034517330490052700e+01
9.200063347816467285e-02,3.065720460563898087e+01
9.599869698286056519e-02,3.093618190474808216e+01
9.999967366456985474e-02,3.118589680828154087e+01
1.040003299713134766e-01,3.140934436861425638e+01
1.080013066530227661e-01,3.160895945969969034e+01
1.119993701577186584e-01,3.178630186431109905e+01
1.159987673163414001e-01,3.194263255130499601e+01
1.199996247887611389e-01,3.207937166560441256e+01
1.240016818046569824e-01,3.219703948870301247e+01
1.280004382133483887e-01,3.229546923283487558e+01
1.319982260465621948e-01,3.237445526616647840e+01
1.360000073909759521e-01,3.243346524983644485e+01
1.399987787008285522e-01,3.247149306163191795e+01
1.440004706382751465e-01,3.248845787998288870e+01
1.479987949132919312e-01,3.248422341188415885e+01
1.519990414381027222e-01,3.246809917641803622e+01
1.560001075267791748e-01,3.256789661943912506e+01
1.600006818771362305e-01,3.267188493721187115e+01
1.640011072158813477e-01,3.273508025705814362e+01
1.679986864328384399e-01,3.281303682929137722e+01
1.719993650913238525e-01,3.296434489963576198e+01
1.759993880987167358e-01,3.293884138064458966e+01
1.800009161233901978e-01,3.297738772630691528e+01
1.840007156133651733e-01,3.294403660017997026e+01
1.880000680685043335e-01,3.282737699989229441e+01
1.920002102851867676e-01,3.269260240811854601e+01
1.960000246763229370e-01,3.256893727649003267e+01
1.999996602535247803e-01,3.226716863643378019e+01
