strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,1.816378486575558782e+00
7.999968715012073517e-03,3.312341429293155670e+00
1.199979055672883987e-02,5.261035403353162110e+00
1.599993370473384857e-02,6.979236358078196645e+00
1.999928429722785950e-02,8.369877268327400088e+00
2.399908378720283508e-02,9.456713321851566434e+00
2.800061739981174469e-02,1.031447519175708294e+01
3.200063854455947876e-02,1.100690467143431306e+01
3.600130602717399597e-02,1.158010900812223554e+01
3.999888524413108826e-02,1.206734463153406978e+01
4.399931803345680237e-02,1.249015349429100752e+01
4.799989610910415649e-02,1.285977252386510372e+01
5.200096219778060913e-02,1.318254205957055092e+01
5.600120127201080322e-02,1.346605865471065044e+01
5.999952554702758789e-02,1.371650138776749372e+01
6.400122493505477905e-02,1.393766475748270750e+01
6.799999624490737915e-02,1.413235834985971451e+01
7.200177013874053955e-02,1.430272043310105801e+01
7.599955797195434570e-02,1.445069875475019217e+01
7.999832183122634888e-02,1.457741606049239635e+01
8.400037139654159546e-02,1.468428702093660831e+01
8.800123631954193115e-02,1.477313178312033415e+01
9.200063347816467285e-02,1.484634347725659609e+01
9.599869698286056519e-02,1.490663757966831326e+01
9.999967366456985474e-02,1.495690128579735756e+01
1.040003299713134766e-01,1.500342543647275306e+01
1.080013066530227661e-01,1.600176998844835907e+01
1.119993701577186584e-01,1.878530018031597137e+01
1.159987673163414001e-01,2.169219453632831573e+01
1.199996247887611389e-01,2.476549634337425232e+01
1.240016818046569824e-01,2.771691802144050598e+01
1.280004382133483887e-01,3.065956634283065796e+01
1.319982260465621948e-01,3.338530912995338440e+01
1.360000073909759521e-01,3.588492262363433838e+01
1.399987787008285522e-01,3.834814801812171936e+01
1.440004706382751465e-01,4.049792885780334473e+01
1.479987949132919312e-01,4.247912386059761047e+01
1.519990414381027222e-01,4.428079330921173096e+01
1.560001075267791748e-01,4.596247142553329468e+01
1.600006818771362305e-01,4.762821644544601440e+01
1.640011072158813477e-01,4.917819547653198242e+01
1.679986864328384399e-01,5.055383616685867310e+01
1.719993650913238525e-01,5.186717981100082397e+01
1.759993880987167358e-01,5.299188834428787231e+01
1.800009161233901978e-01,5.431029117107391357e+01
1.840007156133651733e-01,5.535379862785339355e+01
1.880000680685043335e-01,5.614579641819000244e+01
1.920002102851867676e-01,5.659396600723266602e+01
1.960000246763229370e-01,5.699252539873123169e+01
1.999996602535247803e-01,5.711028975248336792e+01
