strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,3.329968275502324104e+00
7.999968715012073517e-03,6.092363758012652397e+00
1.199979055672883987e-02,9.800633613020181656e+00
1.599993370473384857e-02,1.339864367246627808e+01
1.999928429722785950e-02,1.654381699301302433e+01
2.399908378720283508e-02,1.908827926166122779e+01
2.800061739981174469e-02,2.118637476861476898e+01
3.200063854455947876e-02,2.295315605774521828e+01
3.600130602717399597e-02,2.444457196444272995e+01
3.999888524413108826e-02,2.571535864472389221e+01
4.399931803345680237e-02,2.681841458380222321e+01
4.799989610910415649e-02,2.779400645196437836e+01
5.200096219778060913e-02,2.867114192247390747e+01
5.600120127201080322e-02,2.947096747159957886e+01
5.999952554702758789e-02,3.021140477061271667e+01
6.400122493505477905e-02,3.090546840429306030e+01
6.799999624490737915e-02,3.156142562627792358e+01
7.200177013874053955e-02,3.218571987748146057e+01
7.599955797195434570e-02,3.278332737088203430e+01
7.999832183122634888e-02,3.335514283180236816e+01
8.400037139654159546e-02,3.390563777089118958e+01
8.800123631954193115e-02,3.443284022808074951e+01
9.200063347816467285e-02,3.493335017561912537e+01
9.599869698286056519e-02,3.540584373474121094e+01
9.999967366456985474e-02,3.584878522157669067e+01
1.040003299713134766e-01,3.626254566013813019e+01
1.080013066530227661e-01,3.664924035966396332e+01
1.119993701577186584e-01,3.701099476218223572e+01
1.159987673163414001e-01,3.735014404356479645e+01
1.199996247887611389e-01,3.766848776489496231e+01
1.240016818046569824e-01,3.796776260435581207e+01
1.280004382133483887e-01,3.824884690064936876e+01
1.319982260465621948e-01,3.851289659738540649e+01
1.360000073909759521e-01,3.876163375377655029e+01
1.399987787008285522e-01,3.899543717503547668e+01
1.440004706382751465e-01,3.921355429291725159e+01
1.479987949132919312e-01,3.941436490416526794e+01
1.519990414381027222e-01,3.959960675239562988e+01
1.560001075267791748e-01,3.976821756362915039e+01
1.600006818771362305e-01,3.991904789209365845e+01
1.640011072158813477e-01,4.005026638507843018e+01
1.679986864328384399e-01,4.024155968427658081e+01
1.719993650913238525e-01,4.045791989564895630e+01
1.759993880987167358e-01,4.064482551813125610e+01
1.800009161233901978e-01,4.078808397054672241e+01
1.840007156133651733e-01,4.090325164794921875e+01
1.880000680685043335e-01,4.102686864137649536e+01
1.920002102851867676e-01,4.113618588447570801e+01
1.960000246763229370e-01,4.152530407905578613e+01
1.999996602535247803e-01,4.176457428932189941e+01
